RENTAL_ZONE_HAL_ID,RENTAL_ZONE_HAL_SRC,NAME,CODE,TYPE,CITY,COUNTRY,LATITUDE,LONGITUDE,POI_AIRPORT_X,POI_LONG_DISTANCE_TRAINS_X,POI_SUBURBAN_TRAINS_X,POI_UNDERGROUND_X,ACTIVE_X,COMPANY,COMPANY_GROUP
6572,Standort,Bahnhof Süd,40026126,normal,Köln,Deutschland,6.938814998800000,50.926435570300000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
6630,Standort,Subbelrather/Innere Kanalstr.,40026393,normal,Köln,Deutschland,6.933908902500000,50.949373482800000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
6676,Standort,Barbarossaplatz,40026738,normal,Köln,Deutschland,6.941426066700000,50.929039587400000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
6712,Standort,Breite Strasse/Neue Langgasse/U-Bahn,40027097,normal,Köln,Deutschland,6.950618400000000,50.938903260700000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
6717,Standort,Bahnhof-Haupt- Domseite,400300035,normal,Köln,Deutschland,6.957565565100000,50.941764759600000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
6723,Standort,Lise-Meitner-Str./ Kreuznacherstr. (Novotel),6048600011,normal,Frankfurt am Main,Deutschland,8.642785000000000,50.115468000000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
6728,Standort,Eigelstein/Ebertplatz,40029681,normal,Köln,Deutschland,6.956884699500000,50.949074010600000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
6729,Standort,Bahnhof West,40029695,normal,Köln,Deutschland,6.933136550800000,50.943442902200000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
6760,Standort,Museum Ludwig,40030179,normal,Köln,Deutschland,6.959877028300000,50.941083182600000,Nein,Ja,Nein,Nein,Ja,Call a Bike,Call a Bike
7596,Standort,Dormero-Hotel / Europaallee,6032700007,normal,Frankfurt am Main,Deutschland,8.643816000000000,50.108311000000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
8880,Standort,Hauptbahnhof,88000577,normal,München,Deutschland,11.560833330000000,48.139444440000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
8960,Standort,Münchner Freiheit,88001341,normal,München,Deutschland,11.587500000000000,48.164166670000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
8993,Standort,Hauptbahnhof,88002000,normal,München,Deutschland,11.560555560000000,48.140555560000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
8999,Standort,Goetheplatz,88002039,normal,München,Deutschland,11.558333330000000,48.129444440000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
9052,Standort,Prof.-Huber Platz,88002510,normal,München,Deutschland,11.581944440000000,48.150277780000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
9090,Standort,Münchner Freiheit,88002885,normal,München,Deutschland,11.586666670000000,48.161666670000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10225,Standort,Bahnhof Deutz,40022163,normal,Köln,Deutschland,6.973560040300000,50.939842185300000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10235,Standort,Eigelstein/Ebertplatz,40022214,normal,Köln,Deutschland,6.956884699500000,50.949074010600000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10286,Standort,Neumarkt,40022658,normal,Köln,Deutschland,6.949050441300000,50.935507832400000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10287,Standort,Neumarkt,40022659,normal,Köln,Deutschland,6.949050441300000,50.935507832400000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10343,Standort,Zülpicher Platz/Friedrichstr.,40023113,normal,Köln,Deutschland,6.941011210000000,50.930558251000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
